Symbol	Name
MYLN	YTD Lows NYSE
MYLP	YTD Lows Sp500
MYLQ	YTD Lows Nasdaq
MYLU	YTD Lows Volume Lt 100K
MYLV	YTD Lows Volume Gt 100K
MYLX	YTD Lows Overall
NAST	Nasdaq Transportation Index
NBI	Nasdaq Biotechnology Index
NBZ	Nasdaq Biotech Index Final Set
NDFI	Nasdaq 100 Stocks Above 50-Day Average
NDOF	Nasdaq 100 Stocks Above 150-Day Average
NDOH	Nasdaq 100 Stocks Above 100-Day Average
NDTH	Nasdaq 100 Stocks Above 200-Day Average
NDTW	Nasdaq 100 Stocks Above 20-Day Average
NDX	NASDAQ 100 INDEX
NDXT	Nasdaq 100 Technology Index
NDXX	Nasdaq-100 Ex-Tech Sector Index
NDY	Nasdaq 100
NEX	Wilderhill New Energy Global In
NFA	Cts Feed Fa
NGV	AMEX Natural Gas Index Final Se
NI225	Nikkei 225
NNY	US 100
NNYE	ENERGY IDX
NNYI	INTERNATIONAL 100
NNYK	FINANCIAL
NNYL	WORLD LEADERS
NNYP	HEALTH CARE
NNYY	TMT IDX
NQGM	Ndaq Global Market Composite
NQGS	Nasdaq Global Select Market Composite Index
NSEI	CNX Nifty
NSHD	NYSE Declining Stocks
NSHF	NYSE Advances - Declines
NSHR	NYSE Advance Decline Ratio
NSHU	NYSE Advancing Stocks
NVLD	NYSE Declining Volume
NVLF	NYSE Advance Decline Volume Diff
NVLR	NYSE Advance Decline Vol Ratio
NVLU	NYSE Advancing Volume
NVOT	NYSE Total Volume
NWV	AMEX Networking Index Settlemen
NWX	Network Index
NXTQ	Nasdaq Q-50 Index
NYA	NYSE Composite
NYI	NYSE International 100 Index
NYL	NYSE World Leaders Index
NYXR	S&P C.S. Ny-New York Home Price Index
NZ50	NZSX 50 Index
OEX	S&P 100 Index
OFIN	Nasdaq Other Finance Index
OILBR	Crude Oil Brent NYMEX
OILSW	Crude Oil Light Sweet NYMEX
OIV	Nymex Crude Oil Vix
OMX	OMX Stockholm 30 Index
ONE	S&P 100 Index
OOI	S&P Gl 100 Id
OSX	Phlx Oil Service
OVX	Crude Oil Volatility
PHN	AMEX Telecom
PHXR	S&P C.S. Az-Phoenix Home Price Index
PLD	Palladium Index
PLT	Platinum Index
POQ	CBOE POWERPACKS TELCOM INDEX
POXR	S&P C.S. Or-Portland Home Price Index
PSEI	Philippines Stock Exchange PSEi Index
QSHD	NASD Declining Stocks
QSHF	NASD Advances - Declines
QSHR	NASD Advance Decline Ratio
QSHU	NASD Advancing Stocks
QVLD	NASD Declining Volume
QVLF	NASD Advance Decline Volume Diff
QVLR	NASD Advance Decline Vol Ratio
QVLU	NASD Advancing Volume
R1FI	Russell 1000 Stocks Above 50-Day Average
R1OF	Russell 1000 Stocks Above 150-Day Average
R1OH	Russell 1000 Stocks Above 100-Day Average
R1TH	Russell 1000 Stocks Above 200-Day Average
R1TW	Russell 1000 Stocks Above 20-Day Average
R2FI	Russell 2000 Stocks Above 50-Day Average
R2OF	Russell 2000 Stocks Above 150-Day Average
R2OH	Russell 2000 Stocks Above 100-Day Average
R2TH	Russell 2000 Stocks Above 200-Day Average
R2TW	Russell 2000 Stocks Above 20-Day Average
R3FI	Russell 3000 Stocks Above 50-Day Average
R3OF	Russell 3000 Stocks Above 150-Day Average
R3OH	Russell 3000 Stocks Above 100-Day Average
R3TH	Russell 3000 Stocks Above 200-Day Average
R3TW	Russell 3000 Stocks Above 20-Day Average
RAG	Russell 3000 Growth
RAV	Russell 3000 Value
RDG	Russell Midcap Growth
RJY	S.V. For Amex Mini-Natural Gas
RLG	Russell 1000 Growth
RLX	S& P Retail Index
RMC	Russell Midcap Index
RMV	Russell Midcap Value
RMZ	The Msci Reit Index
RPE	Elec Pwr Natg
RSC	Russell SmallCap Index
RSG	Russell SmallCap Growth
RSV	Russell SmallCap Value
RTCM	Tsx Income Trust Index
RTF	Russell Top 50 Index
RTG	Russell 2500 Growth
RTI	Russell 2500 Index
RTM	Russell Microcap Index
RTRE	Tsx Reit Capped Index
RTV	Russell 2500 Value
RUA	Russell 3000 Index
RUF	ISE Homebuilders Index
RUI	Russell 1000 Index
RUJ	Russell 2000 Value
RUO	Russell 2000 Growth
RUT	CBOE RUSSELL 2000 INDEX
RVX	Russell 2000 Volatility
RWG	Russell Top 200 Growth
RWI	Russell Top 200 Index
RWV	Russell Top 200 Value
S1FI	S&P 100 Stocks Above 50-Day Average
S1OF	S&P 100 Stocks Above 150-Day Average
S1OH	S&P 100 Stocks Above 100-Day Average
S1TH	S&P 100 Stocks Above 200-Day Average
S1TR	S&P 500 Automobiles & Components [Tr]
S1TW	S&P 100 Stocks Above 20-Day Average
S2TR	S&P 500 Banks [Tr]
S3TR	S&P 500 Capital Goods [Tr]
S4FI	S&P 400 Stocks Above 50-Day Average
S4OF	S&P 400 Stocks Above 150-Day Average
S4OH	S&P 400 Stocks Above 100-Day Average
S4TH	S&P 400 Stocks Above 200-Day Average
S4TR	S&P 500 -Commercial & Professional Services [Tr]
